item_id,user_id,action,vtime
i161,u2630,click,2014-09-05 18:45:00
i161,u2646,click,2014-09-06 15:34:00
i161,u2650,click,2014-09-05 12:54:00
i161,u2660,click,2014-09-05 00:08:00
i161,u2667,click,2014-09-05 13:53:00
i161,u2678,click,2014-09-06 14:09:00
i161,u2683,click,2014-09-06 15:20:00
i161,u2687,click,2014-09-06 18:22:00
i161,u2689,click,2014-09-04 22:20:00
i161,u2691,click,2014-09-04 15:48:00
i161,u2695,click,2014-09-04 21:37:00
i161,u2705,click,2014-09-05 21:12:00
i161,u2718,click,2014-09-05 18:56:00
i446,u2723,click,2014-09-06 10:17:00
i446,u2728,click,2014-09-05 11:12:00
i446,u2724,click,2014-09-04 16:12:00
i446,u2723,click,2014-09-04 11:31:00
i446,u2723,click,2014-09-05 16:11:00
i446,u2724,click,2014-09-05 09:06:00
i446,u2730,click,2014-09-05 09:26:00
i446,u2732,click,2014-09-04 12:01:00
i446,u2732,click,2014-09-06 22:59:00
i446,u2729,click,2014-09-04 16:11:00
i446,u2729,click,2014-09-06 17:45:00
i160,u2730,click,2014-09-05 20:44:00
i160,u2736,click,2014-09-04 09:28:00
i160,u2735,click,2014-09-05 09:23:00
i160,u2735,click,2014-09-04 08:12:00
i160,u2739,click,2014-09-05 12:14:00
i160,u2748,click,2014-09-05 03:14:00
i160,u2777,click,2014-09-06 16:24:00
i550,u2723,click,2014-09-04 21:34:00
i53,u2723,click,2014-09-05 15:08:00
i53,u2729,click,2014-09-04 17:49:00
i53,u2723,click,2014-09-04 20:53:00
i53,u2729,click,2014-09-06 21:14:00
i53,u2729,click,2014-09-05 08:41:00
i83,u2731,click,2014-09-04 20:12:00
i83,u2804,click,2014-09-04 17:42:00
i83,u2805,click,2014-09-05 18:20:00
i331,u2826,click,2014-09-04 23:40:00
i331,u2798,click,2014-09-04 05:22:00
i331,u2842,click,2014-09-05 12:04:00
i331,u2842,click,2014-09-05 12:22:00
i121,u2724,click,2014-09-05 10:13:00
i121,u2842,click,2014-09-04 12:45:00
i198,u2846,click,2014-09-06 15:35:00
i46,u2786,click,2014-09-06 21:34:00
i46,u2723,click,2014-09-05 10:28:00
i275,u2874,click,2014-09-06 12:16:00
i275,u2880,click,2014-09-06 20:04:00
i266,u2740,click,2014-09-06 22:36:00
i266,u2883,click,2014-09-06 17:54:00
i266,u2729,click,2014-09-05 21:50:00
i266,u2884,click,2014-09-06 10:48:00
i266,u2886,click,2014-09-04 23:13:00
i392,u2732,click,2014-09-04 13:36:00
i392,u2729,click,2014-09-06 11:52:00
i407,u2729,click,2014-09-04 15:33:00
i407,u2740,click,2014-09-04 09:42:00
i2,u2723,click,2014-09-06 14:04:00
i2,u2929,click,2014-09-05 13:15:00
i13,u2939,click,2014-09-05 16:18:00
i13,u2745,click,2014-09-05 07:40:00
i13,u2917,click,2014-09-06 19:34:00
i173,u2729,click,2014-09-04 14:14:00
i173,u2915,click,2014-09-04 17:28:00
i492,u2963,click,2014-09-04 12:19:00
i391,u2729,click,2014-09-04 20:23:00
i448,u2972,click,2014-09-06 03:16:00
i455,u2731,click,2014-09-04 17:39:00
i455,u2734,click,2014-09-04 11:53:00
i381,u2804,click,2014-09-04 03:14:00
i381,u2739,click,2014-09-05 23:18:00
i111,u2732,click,2014-09-05 22:58:00
i520,u2734,click,2014-09-04 10:14:00
i192,u3002,click,2014-09-05 02:02:00
i192,u3005,click,2014-09-06 15:44:00
i321,u2731,click,2014-09-06 21:46:00
i366,u39,alipay,2014-09-04 19:23:00
i63,u2730,click,2014-09-04 11:03:00
i63,u2884,click,2014-09-06 07:53:00
i352,u2739,click,2014-09-04 18:35:00
i352,u2778,click,2014-09-05 04:13:00
i352,u2778,click,2014-09-06 11:04:00
i221,u2730,click,2014-09-05 23:30:00
i221,u2724,click,2014-09-05 05:36:00
i281,u2745,click,2014-09-04 11:18:00
i281,u2731,click,2014-09-05 11:46:00
i281,u2724,click,2014-09-04 21:57:00
i281,u2723,click,2014-09-05 16:31:00
i281,u2724,click,2014-09-06 20:09:00
i281,u2729,click,2014-09-06 16:45:00
i281,u2729,click,2014-09-04 09:43:00
i25,u2832,click,2014-09-05 09:46:00
i25,u2723,click,2014-09-04 17:50:00
i488,u2724,click,2014-09-04 22:43:00
i364,u2902,click,2014-09-04 12:14:00
i327,u2801,click,2014-09-06 12:58:00
i327,u2784,click,2014-09-04 16:45:00
i327,u2851,click,2014-09-05 22:25:00
i327,u2740,click,2014-09-04 09:49:00
i327,u2723,click,2014-09-04 15:29:00
i204,u2735,click,2014-09-06 19:45:00
i325,u3055,click,2014-09-05 12:03:00
i325,u3057,click,2014-09-04 21:36:00
i325,u2897,click,2014-09-04 10:31:00
i288,u2740,click,2014-09-05 09:17:00
i218,u3070,click,2014-09-04 08:42:00
i218,u3078,click,2014-09-06 15:30:00
i149,u2730,click,2014-09-04 20:44:00
i149,u2723,click,2014-09-06 15:02:00
i149,u2740,click,2014-09-05 15:46:00
i89,u2739,click,2014-09-05 15:45:00
i142,u2740,click,2014-09-05 23:32:00
i142,u2723,click,2014-09-04 12:25:00
i142,u2723,click,2014-09-04 14:35:00
i524,u2898,click,2014-09-05 19:38:00
i524,u2730,click,2014-09-06 07:31:00
i524,u2986,click,2014-09-05 21:18:00
i134,u2729,click,2014-09-06 12:40:00
i134,u2723,click,2014-09-05 08:31:00
i169,u3116,click,2014-09-05 10:50:00
i155,u2729,click,2014-09-06 14:23:00
i252,u3120,click,2014-09-06 06:35:00
i252,u3125,click,2014-09-05 23:33:00
i175,u3127,click,2014-09-04 21:51:00
i175,u3128,click,2014-09-06 20:38:00
i396,u2737,click,2014-09-04 06:00:00
i396,u48,click,2014-09-06 13:45:00
i396,u3132,click,2014-09-05 12:36:00
i137,u3026,click,2014-09-05 23:54:00
i230,u2915,click,2014-09-06 18:56:00
i478,u2745,click,2014-09-06 22:21:00
i478,u3154,click,2014-09-04 14:12:00
i383,u2735,click,2014-09-05 19:06:00
i383,u2730,click,2014-09-05 12:22:00
i105,u2756,click,2014-09-06 12:37:00
i105,u2801,click,2014-09-05 17:07:00
i105,u2730,click,2014-09-05 08:27:00
i375,u2743,click,2014-09-06 20:41:00
i465,u3178,click,2014-09-04 12:33:00
i124,u2730,click,2014-09-04 14:59:00
i525,u2962,click,2014-09-06 19:25:00
i9,u2851,click,2014-09-04 09:38:00
i9,u2724,click,2014-09-05 19:53:00
i9,u2724,click,2014-09-06 21:37:00
i394,u2724,click,2014-09-05 15:52:00
i394,u2735,click,2014-09-06 19:51:00
i295,u2850,click,2014-09-04 10:44:00
i295,u2915,click,2014-09-05 10:42:00
i295,u2740,click,2014-09-04 22:13:00
i427,u2745,click,2014-09-06 23:48:00
i427,u2729,click,2014-09-05 11:39:00
i279,u3211,click,2014-09-06 10:10:00
i279,u2729,click,2014-09-05 18:24:00
i310,u2739,click,2014-09-05 16:34:00
i335,u35,click,2014-09-05 21:01:00
i128,u2730,click,2014-09-05 16:46:00
i213,u3224,click,2014-09-06 09:12:00
i202,u2730,click,2014-09-04 17:38:00
i145,u3011,click,2014-09-06 18:25:00
i84,u2724,click,2014-09-05 14:32:00
i316,u2731,click,2014-09-04 16:49:00
i540,u2851,click,2014-09-05 21:21:00
i540,u2735,click,2014-09-06 20:51:00
i313,u2728,click,2014-09-06 20:04:00
i542,u2730,click,2014-09-06 21:49:00
i542,u2730,click,2014-09-04 23:37:00
i217,u2735,click,2014-09-06 20:35:00
i217,u2740,click,2014-09-04 16:06:00
i44,u3256,click,2014-09-05 09:18:00
i55,u2731,click,2014-09-05 12:11:00
i133,u2784,click,2014-09-04 20:46:00
i285,u42,click,2014-09-06 09:11:00
i285,u2893,click,2014-09-06 10:00:00
i258,u2731,click,2014-09-05 11:15:00
i308,u2729,click,2014-09-06 19:23:00
i308,u2730,click,2014-09-04 11:44:00
i151,u2890,click,2014-09-05 21:28:00
i151,u2726,click,2014-09-05 11:45:00
i159,u2722,click,2014-09-04 11:22:00
i159,u3247,click,2014-09-04 09:47:00
i283,u3272,click,2014-09-06 08:31:00
i28,u2734,click,2014-09-05 18:25:00
i28,u3274,click,2014-09-04 13:03:00
i28,u2915,click,2014-09-05 16:59:00
i496,u2974,click,2014-09-04 16:29:00
i496,u3277,click,2014-09-05 21:09:00
i496,u2986,click,2014-09-05 15:27:00
i34,u39,click,2014-09-06 20:24:00
i87,u3156,click,2014-09-05 15:36:00
i250,u2735,click,2014-09-05 16:39:00
i462,u39,cart,2014-09-05 11:51:00
i250,u2740,click,2014-09-04 10:45:00
i191,u3133,click,2014-09-05 13:17:00
i191,u2787,click,2014-09-06 08:50:00
i191,u2846,click,2014-09-05 14:39:00
i547,u3285,click,2014-09-04 05:54:00
i547,u2724,click,2014-09-04 20:26:00
i334,u2915,click,2014-09-05 19:48:00
i334,u2723,click,2014-09-04 16:13:00
i73,u3280,click,2014-09-05 22:20:00
i73,u3244,click,2014-09-05 14:54:00
i90,u2729,click,2014-09-05 16:56:00
i22,u3246,click,2014-09-05 16:54:00
i22,u3291,click,2014-09-05 15:28:00
