item_id,user_id,action,vtime
i446,u2726,click,2014-09-15 10:39:00
i446,u2723,click,2014-09-14 09:57:00
i446,u2729,click,2014-09-13 18:04:00
i446,u2724,click,2014-09-13 22:17:00
i446,u2724,click,2014-09-14 16:12:00
i446,u2729,click,2014-09-15 10:21:00
i446,u2729,click,2014-09-14 13:07:00
i446,u2724,click,2014-09-13 11:19:00
i446,u2729,click,2014-09-13 16:45:00
i446,u2729,click,2014-09-15 21:22:00
i446,u2732,click,2014-09-14 13:03:00
i446,u2729,click,2014-09-15 09:38:00
i446,u2729,click,2014-09-14 12:08:00
i446,u2729,click,2014-09-13 10:30:00
i446,u2729,click,2014-09-13 21:17:00
i446,u2729,click,2014-09-13 13:04:00
i446,u2729,click,2014-09-13 15:04:00
i446,u2729,click,2014-09-15 21:06:00
i160,u2734,click,2014-09-13 22:33:00
i160,u2723,click,2014-09-14 20:15:00
i160,u2778,click,2014-09-15 16:17:00
i53,u2735,click,2014-09-14 12:42:00
i53,u2729,click,2014-09-15 20:06:00
i53,u2729,click,2014-09-13 11:39:00
i83,u2790,click,2014-09-14 16:26:00
i237,u2735,click,2014-09-14 11:40:00
i237,u2740,click,2014-09-13 21:18:00
i237,u2723,click,2014-09-15 17:33:00
i237,u2723,click,2014-09-13 20:14:00
i237,u2850,click,2014-09-13 09:33:00
i237,u2851,click,2014-09-13 21:09:00
i237,u2724,click,2014-09-13 14:01:00
i237,u2854,click,2014-09-14 15:56:00
i237,u2856,click,2014-09-14 21:16:00
i46,u2731,click,2014-09-13 10:56:00
i46,u2863,click,2014-09-15 16:54:00
i46,u2739,click,2014-09-15 15:06:00
i275,u2739,click,2014-09-14 19:47:00
i275,u2881,click,2014-09-15 12:47:00
i275,u2881,click,2014-09-15 20:44:00
i266,u2723,click,2014-09-15 21:03:00
i45,u2788,click,2014-09-13 18:56:00
i45,u2842,click,2014-09-14 19:53:00
i392,u2729,click,2014-09-13 15:41:00
i392,u2729,click,2014-09-15 23:43:00
i392,u2729,click,2014-09-14 16:52:00
i392,u2729,click,2014-09-14 20:40:00
